"idMatch_results","idStadium","idTeam","idWeek","Goals","Goals_Against","numerGames","Win","Shots","Shots_On_Target","Red_Cards","Yellow_Cards"
"5","1","1","1","2","0","1","1","13","7","0","0"
"6","2","2","1","1","0","1","1","24","11","0","0"
"7","3","3","1","1","0","1","1","10","4","0","3"
"8","4","4","1","1","1","1","0","9","1","0","0"
"9","5","5","1","2","2","1","0","8","4","0","1"
"10","6","6","1","1","2","1","0","14","3","0","2"
"11","7","7","1","2","3","1","0","22","10","1","1"
"12","8","8","1","3","3","1","0","28","8","0","3"
"13","9","9","1","1","1","1","0","17","6","0","2"
"14","10","10","2","1","1","1","0","9","4","0","1"
"15","11","11","2","1","1","1","0","12","6","0","1"
"16","12","12","2","1","3","1","0","13","6","0","1"
"17","13","13","2","4","1","1","1","18","9","0","0"
"18","14","14","2","1","1","1","0","13","6","0","0"
"19","15","15","2","1","0","1","1","14","5","0","3"
"20","16","16","2","4","2","1","1","13","5","0","2"
"21","17","17","2","2","1","1","1","20","9","0","2"
"22","18","18","2","3","0","1","1","18","6","0","1"
"23","4","4","3","0","0","1","0","17","3","0","4"
"24","2","2","3","1","1","1","0","13","5","0","2"
"25","12","12","3","0","0","1","0","15","1","0","4"
"26","9","9","3","0","5","1","0","15","1","0","1"
"27","5","5","3","2","1","1","1","17","8","0","0"
"28","6","6","3","0","2","1","0","7","0","0","2"
"29","8","8","3","1","0","1","1","15","3","0","1"
"30","7","7","3","3","0","1","1","20","10","0","1"
"31","1","1","3","2","4","1","0","12","5","0","4"
"32","17","17","4","2","0","1","1","17","5","0","1"
"33","10","10","4","3","0","1","1","18","6","0","0"
"34","11","11","4","1","1","1","0","16","3","0","1"
"35","14","14","4","0","1","1","0","13","3","0","0"
"36","15","15","4","2","1","1","1","32","8","0","2"
"37","18","18","4","0","1","1","0","15","2","0","0"
"38","16","16","4","0","0","1","0","14","4","0","1"
"39","13","13","4","3","1","1","1","18","8","0","0"
"40","3","3","4","2","3","1","0","18","5","0","0"
"41","2","2","5","1","5","1","0","8","2","0","0"
"42","9","9","5","0","2","1","0","14","6","0","2"
"43","13","13","5","3","1","1","1","18","7","0","1"
"44","4","4","5","3","0","1","1","21","9","0","0"
"45","5","5","5","2","1","1","1","10","6","0","2"
"46","6","6","5","1","0","1","1","10","2","0","1"
"47","1","1","5","2","3","1","0","14","5","1","4"
"48","12","12","5","1","2","1","0","14","5","0","2"
"49","7","7","5","0","0","1","0","16","5","0","2"
"50","18","18","6","1","2","1","0","15","2","0","0"
"51","10","10","6","2","1","1","1","23","10","0","0"
"52","8","8","6","2","3","1","0","12","5","0","4"
"53","14","14","6","1","1","1","0","13","5","0","3"
"54","17","17","6","2","4","1","0","13","7","0","3"
"55","16","16","6","0","2","1","0","14","1","0","4"
"56","11","11","6","1","1","1","0","8","1","0","1"
"57","3","3","6","0","4","1","0","17","3","0","1"
"58","15","15","6","0","0","1","0","8","3","0","1"
"59","6","6","7","0","1","1","0","15","2","0","1"
"60","2","2","7","0","1","1","0","16","3","0","0"
"61","11","11","7","0","3","1","0","10","4","1","1"
"62","12","12","7","0","1","1","0","7","1","1","3"
"63","13","13","7","1","0","1","1","14","4","0","2"
"64","7","7","7","3","0","1","1","16","7","0","0"
"65","1","1","7","4","2","1","1","11","6","0","2"
"66","9","9","7","3","0","1","1","20","5","0","0"
"67","4","4","7","5","1","1","1","16","6","0","2"
"68","18","18","8","2","0","1","1","10","6","0","4"
"69","10","10","8","0","0","1","0","13","2","0","1"
"70","8","8","8","1","1","1","0","10","2","1","1"
"71","14","14","8","5","2","1","1","19","9","0","0"
"72","15","15","8","4","0","1","1","18","8","0","0"
"73","5","5","8","2","1","1","1","4","3","0","6"
"74","17","17","8","0","1","1","0","17","3","0","1"
"75","3","3","8","1","3","1","0","12","4","0","2"
"76","16","16","8","0","2","1","0","7","3","0","2"
"77","11","11","9","2","1","1","1","16","5","0","1"
"78","12","12","9","1","0","1","1","12","4","0","1"
"79","9","9","9","1","2","1","0","10","2","0","0"
"80","13","13","9","0","0","1","0","7","0","0","1"
"81","6","6","9","3","0","1","1","18","8","0","1"
"82","16","16","9","1","2","1","0","15","7","0","4"
"83","7","7","9","2","0","1","1","17","6","0","3"
"84","2","2","9","2","0","1","1","18","9","0","2"
"85","1","1","9","2","1","1","1","18","4","0","1"
"86","15","15","10","1","1","1","0","16","4","0","4"
"87","10","10","10","2","1","1","1","23","9","0","0"
"88","14","14","10","1","0","1","1","5","1","0","3"
"89","4","4","10","3","0","1","1","12","4","0","1"
"90","5","5","10","3","0","1","1","11","5","0","2"
"91","17","17","10","0","0","1","0","18","4","0","0"
"92","8","8","10","1","4","1","0","14","3","0","2"
"93","3","3","10","0","0","1","0","18","6","0","1"
"94","18","18","10","3","3","1","0","19","11","0","2"
"95","2","2","11","2","0","1","1","19","8","0","2"
"96","12","12","11","0","1","1","0","6","3","0","1"
"97","13","13","11","2","3","1","0","14","8","0","2"
"98","6","6","11","2","2","1","0","13","7","0","4"
"99","18","18","11","2","2","1","0","13","5","0","3"
"100","16","16","11","0","0","1","0","9","6","0","3"
"101","1","1","11","3","3","1","0","16","5","0","2"
"102","11","11","11","2","1","1","1","13","6","0","4"
"103","9","9","11","0","1","1","0","11","2","0","0"
"104","15","15","12","4","0","1","1","16","7","0","0"
"105","10","10","12","1","1","1","0","11","3","0","2"
"106","8","8","12","1","2","1","0","10","6","0","2"
"107","4","4","12","1","2","1","0","20","5","0","3"
"108","5","5","12","1","0","1","1","14","4","0","4"
"109","17","17","12","0","0","1","0","19","4","0","1"
"110","14","14","12","2","2","1","0","8","4","0","3"
"111","3","3","12","0","1","1","0","17","1","0","4"
"112","7","7","12","1","1","1","0","11","7","0","1"
"113","2","2","13","0","0","1","0","24","9","0","1"
"114","11","11","13","1","2","1","0","20","5","0","3"
"115","12","12","13","0","4","1","0","3","1","0","3"
"116","9","9","13","0","6","1","0","11","5","0","0"
"117","18","18","13","2","0","1","1","14","8","0","1"
"118","16","16","13","1","1","1","0","27","7","1","1"
"119","1","1","13","2","3","1","0","18","9","0","5"
"120","10","10","13","1","1","1","0","7","4","0","1"
"121","13","13","13","0","1","1","0","17","7","0","1"
"122","8","8","14","0","0","1","0","5","3","0","3"
"123","3","3","14","1","3","1","0","11","6","0","2"
"124","4","4","14","1","2","1","0","14","1","1","3"
"125","5","5","14","1","1","1","0","12","6","0","3"
"126","17","17","14","1","0","1","1","12","3","0","0"
"127","6","6","14","0","1","1","0","20","3","0","2"
"128","7","7","14","2","2","1","0","24","6","0","1"
"129","14","14","14","0","3","1","0","14","6","0","0"
"130","15","15","14","4","0","1","1","22","9","0","0"
"131","10","10","15","2","1","1","1","15","7","0","3"
"132","2","2","15","4","0","1","1","18","13","0","2"
"133","11","11","15","2","0","1","1","13","6","0","3"
"134","13","13","15","0","0","1","0","6","3","0","3"
"135","14","14","15","0","0","1","0","8","4","0","2"
"136","16","16","15","1","1","1","0","18","6","0","2"
"137","1","1","15","2","2","1","0","28","10","0","3"
"138","12","12","15","0","0","1","0","8","2","0","4"
"139","18","18","15","2","0","1","1","13","4","0","1"
"140","3","3","16","2","2","1","0","8","3","1","2"
"141","8","8","16","1","5","1","0","8","3","0","2"
"142","9","9","16","0","0","1","0","12","4","0","2"
