"idStadium","stateName","name","teamName"
"1","Niedersachsen","Volkswagen Arena","Wolfsburg"
"2","Nordrhein-Westfalen","Signal Iduna Park","Dortmund"
"3","Berlin","Olympiastadion Berlin","Hertha"
"4","Baden-Württemberg","PreZero Arena","Hoffenheim"
"5","Rheinland-Pfalz","OPEL ARENA","Mainz"
"6","Bayern","Max-Morlock-Stadion","Nurnberg"
"7","Bremen","Weser-Stadion","Werder Bremen"
"8","Nordrhein-Westfalen","Vonovia Ruhrstadion","Bochum"
"9","Baden-Württemberg","Schwarzwald-Stadion","Freiburg"
"10","Bayern","Allianz Arena","Bayern Munich"
"11","Hessen","Commerzbank-Arena","Ein Frankfurt"
"12","Nordrhein-Westfalen","RheinEnergieSTADION","FC Koln"
"13","Hamburg","Volksparkstadion","Hamburg"
"14","Niedersachsen","HDI Arena","Hannover"
"15","Nordrhein-Westfalen","BayArena","Leverkusen"
"16","Baden-Württemberg","Mercedes-Benz Arena","Stuttgart"
"17","Nordrhein-Westfalen","BORUSSIA-PARK","M'gladbach"
"18","Nordrhein-Westfalen","VELTINS-Arena","Schalke 04"
"19","Rheinland-Pfalz","Fritz-Walter-Stadion","Kaiserslautern"
"20","Hamburg","Millerntor-Stadion","St Pauli"
"21","Bayern","WWK Arena","Augsburg"
"22","Bayern","Sportpark Ronhof","Greuther Furth"
"23","Nordrhein-Westfalen","MERKUR SPIEL-ARENA","Fortuna Dusseldorf"
"24","Niedersachsen","EINTRACHT-STADION","Braunschweig"
"25","Nordrhein-Westfalen","Benteler-Arena","Paderborn"
"26","Hessen","Merck-Stadion am Böllenfalltor","Darmstadt"
"27","Bayern","Audi-Sportpark","Ingolstadt"
"28","Sachsen","Red Bull Arena","RB Leipzig"
