"idTime","weekNum","seasonName","decadeName"
"1","1","2009-10","2000s"
"2","2","2009-10","2000s"
"3","3","2009-10","2000s"
"4","4","2009-10","2000s"
"5","5","2009-10","2000s"
"6","6","2009-10","2000s"
"7","7","2009-10","2000s"
"8","8","2009-10","2000s"
"9","9","2009-10","2000s"
"10","10","2009-10","2000s"
"11","11","2009-10","2000s"
"12","12","2009-10","2000s"
"13","13","2009-10","2000s"
"14","14","2009-10","2000s"
"15","15","2009-10","2000s"
"16","16","2009-10","2000s"
"17","17","2009-10","2000s"
"18","18","2009-10","2000s"
"19","19","2009-10","2000s"
"20","20","2009-10","2000s"
"21","21","2009-10","2000s"
"22","22","2009-10","2000s"
"23","23","2009-10","2000s"
"24","24","2009-10","2000s"
"25","25","2009-10","2000s"
"26","26","2009-10","2000s"
"27","27","2009-10","2000s"
"28","28","2009-10","2000s"
"29","29","2009-10","2000s"
"30","30","2009-10","2000s"
"31","31","2009-10","2000s"
"32","32","2009-10","2000s"
"33","33","2009-10","2000s"
"34","34","2009-10","2000s"
"35","1","2010-11","2010s"
"36","2","2010-11","2010s"
"37","3","2010-11","2010s"
"38","4","2010-11","2010s"
"39","5","2010-11","2010s"
"40","6","2010-11","2010s"
"41","7","2010-11","2010s"
"42","8","2010-11","2010s"
"43","9","2010-11","2010s"
"44","10","2010-11","2010s"
"45","11","2010-11","2010s"
"46","12","2010-11","2010s"
"47","13","2010-11","2010s"
"48","14","2010-11","2010s"
"49","15","2010-11","2010s"
"50","16","2010-11","2010s"
"51","17","2010-11","2010s"
"52","18","2010-11","2010s"
"53","19","2010-11","2010s"
"54","20","2010-11","2010s"
"55","21","2010-11","2010s"
"56","22","2010-11","2010s"
"57","23","2010-11","2010s"
"58","24","2010-11","2010s"
"59","25","2010-11","2010s"
"60","26","2010-11","2010s"
"61","27","2010-11","2010s"
"62","28","2010-11","2010s"
"63","29","2010-11","2010s"
"64","30","2010-11","2010s"
"65","31","2010-11","2010s"
"66","32","2010-11","2010s"
"67","33","2010-11","2010s"
"68","34","2010-11","2010s"
"69","1","2011-12","2010s"
"70","2","2011-12","2010s"
"71","3","2011-12","2010s"
"72","4","2011-12","2010s"
"73","5","2011-12","2010s"
"74","6","2011-12","2010s"
"75","7","2011-12","2010s"
"76","8","2011-12","2010s"
"77","9","2011-12","2010s"
"78","10","2011-12","2010s"
"79","11","2011-12","2010s"
"80","12","2011-12","2010s"
"81","13","2011-12","2010s"
"82","14","2011-12","2010s"
"83","15","2011-12","2010s"
"84","16","2011-12","2010s"
"85","17","2011-12","2010s"
"86","18","2011-12","2010s"
"87","19","2011-12","2010s"
"88","20","2011-12","2010s"
"89","21","2011-12","2010s"
"90","22","2011-12","2010s"
"91","23","2011-12","2010s"
"92","24","2011-12","2010s"
"93","25","2011-12","2010s"
"94","26","2011-12","2010s"
"95","27","2011-12","2010s"
"96","28","2011-12","2010s"
"97","29","2011-12","2010s"
"98","30","2011-12","2010s"
"99","31","2011-12","2010s"
"100","32","2011-12","2010s"
"101","33","2011-12","2010s"
"102","34","2011-12","2010s"
"103","1","2012-13","2010s"
"104","2","2012-13","2010s"
"105","3","2012-13","2010s"
"106","4","2012-13","2010s"
"107","5","2012-13","2010s"
