idStadium;name;stateName;teamName
1;Volkswagen Arena;Niedersachsen;Wolfsburg
2;Signal Iduna Park;Nordrhein-Westfalen;Dortmund
3;Olympiastadion Berlin;Berlin;Hertha
4;PreZero Arena;Baden-Württemberg;Hoffenheim
5;OPEL ARENA;Rheinland-Pfalz;Mainz
6;Max-Morlock-Stadion;Bayern;Nurnberg
7;Weser-Stadion;Bremen;Werder Bremen
8;Vonovia Ruhrstadion;Nordrhein-Westfalen;Bochum
9;Schwarzwald-Stadion;Baden-Württemberg;Freiburg
10;Allianz Arena;Bayern;Bayern Munich
11;Commerzbank-Arena;Hessen;Ein Frankfurt
12;RheinEnergieSTADION;Nordrhein-Westfalen;FC Koln
13;Volksparkstadion;Hamburg;Hamburg
14;HDI Arena;Niedersachsen;Hannover
15;BayArena;Nordrhein-Westfalen;Leverkusen
16;Mercedes-Benz Arena;Baden-Württemberg;Stuttgart
17;BORUSSIA-PARK;Nordrhein-Westfalen;M'gladbach
18;VELTINS-Arena;Nordrhein-Westfalen;Schalke 04
19;Fritz-Walter-Stadion;Rheinland-Pfalz;Kaiserslautern
20;Millerntor-Stadion;Hamburg;St Pauli
21;WWK Arena;Bayern;Augsburg
22;Sportpark Ronhof;Bayern;Greuther Furth
23;MERKUR SPIEL-ARENA;Nordrhein-Westfalen;Fortuna Dusseldorf
24;EINTRACHT-STADION;Niedersachsen;Braunschweig
25;Benteler-Arena;Nordrhein-Westfalen;Paderborn
26;Merck-Stadion am Böllenfalltor;Hessen;Darmstadt
27;Audi-Sportpark;Bayern;Ingolstadt
28;Red Bull Arena;Sachsen;RB Leipzig
