Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;09.08.13;Bayern Munich;M'gladbach;H;26;11;1;3;0;0
D1;10.08.13;Augsburg;Dortmund;A;11;13;2;0;0;0
D1;10.08.13;Braunschweig;Werder Bremen;A;13;12;1;0;0;0
D1;10.08.13;Hannover;Wolfsburg;H;20;15;4;0;0;2
D1;10.08.13;Hertha;Ein Frankfurt;H;16;10;0;2;0;0
D1;10.08.13;Hoffenheim;Nurnberg;D;23;12;1;4;0;0
D1;10.08.13;Leverkusen;Freiburg;H;18;8;2;2;0;0
D1;11.08.13;Mainz;Stuttgart;H;9;15;2;4;0;0
D1;11.08.13;Schalke 04;Hamburg;D;19;16;1;2;0;0
D1;17.08.13;Ein Frankfurt;Bayern Munich;A;9;15;1;1;0;0
D1;17.08.13;Freiburg;Mainz;A;9;12;0;3;0;0
D1;17.08.13;Hamburg;Hoffenheim;A;8;18;2;2;0;0
D1;17.08.13;M'gladbach;Hannover;H;17;16;1;4;0;0
D1;17.08.13;Stuttgart;Leverkusen;A;17;13;3;2;0;0
D1;17.08.13;Werder Bremen;Augsburg;H;5;20;3;4;0;0
D1;17.08.13;Wolfsburg;Schalke 04;H;20;6;0;2;0;0
D1;18.08.13;Dortmund;Braunschweig;H;24;8;0;1;0;0
D1;18.08.13;Nurnberg;Hertha;D;11;12;5;2;0;0
D1;23.08.13;Dortmund;Werder Bremen;H;32;7;0;0;0;0
D1;24.08.13;Bayern Munich;Nurnberg;H;26;5;3;1;0;0
D1;24.08.13;Hannover;Schalke 04;H;14;8;2;0;1;2
D1;24.08.13;Hertha;Hamburg;H;16;15;1;4;0;0
D1;24.08.13;Hoffenheim;Freiburg;D;13;11;1;3;1;3
D1;24.08.13;Leverkusen;M'gladbach;H;19;10;0;1;0;0
D1;24.08.13;Mainz;Wolfsburg;H;12;16;3;1;0;1
D1;25.08.13;Augsburg;Stuttgart;H;17;9;2;3;0;1
D1;25.08.13;Braunschweig;Ein Frankfurt;A;9;20;2;1;0;0
D1;27.08.13;Freiburg;Bayern Munich;D;8;17;2;1;0;0
D1;31.08.13;Hamburg;Braunschweig;H;26;17;1;4;0;0
D1;31.08.13;Hannover;Mainz;H;16;13;3;1;0;0
D1;31.08.13;M'gladbach;Werder Bremen;H;20;10;3;0;0;0
D1;31.08.13;Nurnberg;Augsburg;A;7;24;4;2;1;0
D1;31.08.13;Schalke 04;Leverkusen;H;12;11;0;3;0;0
D1;31.08.13;Wolfsburg;Hertha;H;18;8;1;2;0;0
D1;01.09.13;Ein Frankfurt;Dortmund;A;17;16;1;2;0;0
D1;01.09.13;Stuttgart;Hoffenheim;H;13;12;2;2;0;0
