Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;20.08.10;Bayern Munich;Wolfsburg;2;1;H;H;17;11;5;5;1;3;0;0
D1;21.08.10;FC Koln;Kaiserslautern;1;3;A;H;10;17;4;6;1;2;1;0
D1;21.08.10;Freiburg;St Pauli;1;3;A;D;9;17;3;7;0;0;0;0
D1;21.08.10;Hamburg;Schalke 04;2;1;H;D;18;13;6;4;2;0;0;1
D1;21.08.10;Hannover;Ein Frankfurt;2;1;H;D;13;17;7;3;0;1;0;0
D1;21.08.10;Hoffenheim;Werder Bremen;4;1;H;H;10;10;7;2;1;2;0;0
D1;21.08.10;M'gladbach;Nurnberg;1;1;D;D;12;10;5;5;1;1;0;0
D1;22.08.10;Dortmund;Leverkusen;0;2;A;A;14;15;6;4;0;0;0;0
D1;22.08.10;Mainz;Stuttgart;2;0;H;H;17;14;6;5;4;1;0;0
D1;27.08.10;Kaiserslautern;Bayern Munich;2;0;H;H;11;20;2;3;0;1;1;0
D1;28.08.10;Ein Frankfurt;Hamburg;1;3;A;H;12;14;7;4;2;1;0;0
D1;28.08.10;Nurnberg;Freiburg;1;2;A;D;17;5;4;3;2;1;0;0
D1;28.08.10;Schalke 04;Hannover;1;2;A;A;15;11;5;4;2;2;0;0
D1;28.08.10;St Pauli;Hoffenheim;0;1;A;D;12;8;4;3;2;0;0;0
D1;28.08.10;Werder Bremen;FC Koln;4;2;H;H;17;11;9;5;1;2;0;0
D1;28.08.10;Wolfsburg;Mainz;3;4;A;H;8;13;4;4;3;3;0;0
D1;29.08.10;Leverkusen;M'gladbach;3;6;A;A;12;16;6;10;1;1;0;0
D1;29.08.10;Stuttgart;Dortmund;1;3;A;A;11;16;5;9;0;2;0;0
D1;10.09.10;Hoffenheim;Schalke 04;2;0;H;H;23;14;8;5;1;1;0;0
D1;11.09.10;Bayern Munich;Werder Bremen;0;0;D;D;14;13;7;3;0;0;0;0
D1;11.09.10;Dortmund;Wolfsburg;2;0;H;D;20;6;10;1;2;3;0;0
D1;11.09.10;Freiburg;Stuttgart;2;1;H;A;19;18;5;8;1;1;0;0
D1;11.09.10;Hamburg;Nurnberg;1;1;D;D;7;10;2;3;3;3;0;0
D1;11.09.10;Hannover;Leverkusen;2;2;D;H;9;12;3;4;2;4;1;0
D1;11.09.10;M'gladbach;Ein Frankfurt;0;4;A;A;16;11;5;6;3;2;0;0
D1;12.09.10;FC Koln;St Pauli;1;0;H;H;15;11;6;1;3;3;0;0
D1;12.09.10;Mainz;Kaiserslautern;2;1;H;A;16;10;5;4;1;5;0;0
D1;17.09.10;Ein Frankfurt;Freiburg;0;1;A;D;10;17;3;5;1;2;0;0
D1;18.09.10;Bayern Munich;FC Koln;0;0;D;D;21;8;4;2;0;1;0;0
D1;18.09.10;Kaiserslautern;Hoffenheim;2;2;D;A;16;6;5;4;1;0;0;0
D1;18.09.10;Stuttgart;M'gladbach;7;0;H;H;24;7;12;2;0;2;0;0
D1;18.09.10;Werder Bremen;Mainz;0;2;A;D;12;11;4;7;1;1;0;0
D1;18.09.10;Wolfsburg;Hannover;2;0;H;D;12;9;6;1;2;2;0;0
D1;19.09.10;Leverkusen;Nurnberg;0;0;D;D;10;7;3;2;1;2;0;0
D1;19.09.10;Schalke 04;Dortmund;1;3;A;A;8;23;1;11;0;3;1;0
D1;19.09.10;St Pauli;Hamburg;1;1;D;D;7;10;3;2;2;2;0;0
D1;21.09.10;Hannover;Werder Bremen;4;1;H;D;14;12;8;2;2;3;0;0
D1;21.09.10;Hoffenheim;Bayern Munich;1;2;A;H;11;12;3;6;1;2;0;0
D1;21.09.10;Mainz;FC Koln;2;0;H;D;20;8;7;2;3;3;0;0
