Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;09.08.13;Bayern Munich;M'gladbach;3;1;H;26;11;9;4;1;3;0;0
D1;10.08.13;Augsburg;Dortmund;0;4;A;11;13;4;9;2;0;0;0
D1;10.08.13;Braunschweig;Werder Bremen;0;1;A;13;12;3;4;1;0;0;0
D1;10.08.13;Hannover;Wolfsburg;2;0;H;20;15;8;4;4;0;0;2
D1;10.08.13;Hertha;Ein Frankfurt;6;1;H;16;10;9;4;0;2;0;0
D1;10.08.13;Hoffenheim;Nurnberg;2;2;D;23;12;8;5;1;4;0;0
D1;10.08.13;Leverkusen;Freiburg;3;1;H;18;8;6;3;2;2;0;0
D1;11.08.13;Mainz;Stuttgart;3;2;H;9;15;7;10;2;4;0;0
D1;11.08.13;Schalke 04;Hamburg;3;3;D;19;16;8;6;1;2;0;0
D1;17.08.13;Ein Frankfurt;Bayern Munich;0;1;A;9;15;3;7;1;1;0;0
D1;17.08.13;Freiburg;Mainz;1;2;A;9;12;3;8;0;3;0;0
D1;17.08.13;Hamburg;Hoffenheim;1;5;A;8;18;4;7;2;2;0;0
D1;17.08.13;M'gladbach;Hannover;3;0;H;17;16;8;4;1;4;0;0
D1;17.08.13;Stuttgart;Leverkusen;0;1;A;17;13;3;3;3;2;0;0
D1;17.08.13;Werder Bremen;Augsburg;1;0;H;5;20;2;4;3;4;0;0
D1;17.08.13;Wolfsburg;Schalke 04;4;0;H;20;6;8;2;0;2;0;0
D1;18.08.13;Dortmund;Braunschweig;2;1;H;24;8;6;3;0;1;0;0
D1;18.08.13;Nurnberg;Hertha;2;2;D;11;12;5;5;5;2;0;0
D1;23.08.13;Dortmund;Werder Bremen;1;0;H;32;7;8;1;0;0;0;0
D1;24.08.13;Bayern Munich;Nurnberg;2;0;H;26;5;9;1;3;1;0;0
D1;24.08.13;Hannover;Schalke 04;2;1;H;14;8;6;2;2;0;1;2
D1;24.08.13;Hertha;Hamburg;1;0;H;16;15;5;7;1;4;0;0
D1;24.08.13;Hoffenheim;Freiburg;3;3;D;13;11;5;6;1;3;1;3
D1;24.08.13;Leverkusen;M'gladbach;4;2;H;19;10;11;3;0;1;0;0
D1;24.08.13;Mainz;Wolfsburg;2;0;H;12;16;4;6;3;1;0;1
D1;25.08.13;Augsburg;Stuttgart;2;1;H;17;9;5;2;2;3;0;1
D1;25.08.13;Braunschweig;Ein Frankfurt;0;2;A;9;20;4;4;2;1;0;0
D1;27.08.13;Freiburg;Bayern Munich;1;1;D;8;17;3;8;2;1;0;0
D1;31.08.13;Hamburg;Braunschweig;4;0;H;26;17;13;5;1;4;0;0
D1;31.08.13;Hannover;Mainz;4;1;H;16;13;5;2;3;1;0;0
D1;31.08.13;M'gladbach;Werder Bremen;4;1;H;20;10;8;2;3;0;0;0
D1;31.08.13;Nurnberg;Augsburg;0;1;A;7;24;1;7;4;2;1;0
D1;31.08.13;Schalke 04;Leverkusen;2;0;H;12;11;3;1;0;3;0;0
D1;31.08.13;Wolfsburg;Hertha;2;0;H;18;8;6;4;1;2;0;0
D1;01.09.13;Ein Frankfurt;Dortmund;1;2;A;17;16;4;8;1;2;0;0
D1;01.09.13;Stuttgart;Hoffenheim;6;2;H;13;12;7;3;2;2;0;0
D1;13.09.13;Hertha;Stuttgart;0;1;A;19;8;8;5;1;1;0;0
D1;14.09.13;Augsburg;Freiburg;2;1;H;14;5;6;1;1;2;0;0
D1;14.09.13;Bayern Munich;Hannover;2;0;H;18;13;8;2;3;3;0;0
D1;14.09.13;Dortmund;Hamburg;6;2;H;32;4;14;2;0;4;0;0
D1;14.09.13;Leverkusen;Wolfsburg;3;1;H;14;14;7;5;2;2;0;1
D1;14.09.13;Mainz;Schalke 04;0;1;A;14;10;0;5;1;3;0;0
D1;14.09.13;Werder Bremen;Ein Frankfurt;0;3;A;12;14;4;6;2;0;1;0
D1;15.09.13;Braunschweig;Nurnberg;1;1;D;23;9;7;2;3;2;0;0
D1;15.09.13;Hoffenheim;M'gladbach;2;1;H;10;16;4;3;3;2;0;0
D1;20.09.13;M'gladbach;Braunschweig;4;1;H;13;12;7;3;1;2;0;1
D1;21.09.13;Hamburg;Werder Bremen;0;2;A;19;16;7;6;2;4;0;0
D1;21.09.13;Hannover;Augsburg;2;1;H;15;12;8;2;3;4;0;0
D1;21.09.13;Mainz;Leverkusen;1;4;A;14;13;2;5;1;1;0;0
D1;21.09.13;Nurnberg;Dortmund;1;1;D;10;18;3;6;1;2;0;0
D1;21.09.13;Schalke 04;Bayern Munich;0;4;A;10;14;1;5;1;0;0;0
D1;21.09.13;Wolfsburg;Hoffenheim;2;1;H;15;7;6;2;1;4;0;0
D1;22.09.13;Freiburg;Hertha;1;1;D;8;8;2;4;2;4;0;0
D1;22.09.13;Stuttgart;Ein Frankfurt;1;1;D;14;16;4;4;3;2;0;0
D1;27.09.13;Augsburg;M'gladbach;2;2;D;20;8;5;3;2;3;0;0
D1;28.09.13;Bayern Munich;Wolfsburg;1;0;H;11;4;4;2;2;1;0;0
D1;28.09.13;Dortmund;Freiburg;5;0;H;27;2;13;2;0;1;0;1
D1;28.09.13;Ein Frankfurt;Hamburg;2;2;D;9;11;5;3;2;1;0;0
D1;28.09.13;Hertha;Mainz;3;1;H;9;7;4;5;1;4;0;0
D1;28.09.13;Hoffenheim;Schalke 04;3;3;D;12;12;6;5;3;2;0;0
D1;28.09.13;Leverkusen;Hannover;2;0;H;19;8;8;2;0;0;0;0
D1;29.09.13;Braunschweig;Stuttgart;0;4;A;10;15;2;8;0;1;0;0
D1;29.09.13;Werder Bremen;Nurnberg;3;3;D;15;17;7;8;2;2;0;0
D1;04.10.13;Hannover;Hertha;1;1;D;14;10;5;2;3;3;0;0
D1;05.10.13;Leverkusen;Bayern Munich;1;1;D;5;27;3;11;1;1;0;0
D1;05.10.13;Mainz;Hoffenheim;2;2;D;17;14;8;5;2;2;0;0
D1;05.10.13;M'gladbach;Dortmund;2;0;H;6;27;3;8;2;2;0;1
D1;05.10.13;Schalke 04;Augsburg;4;1;H;13;10;6;3;1;3;0;1
D1;05.10.13;Stuttgart;Werder Bremen;1;1;D;20;7;6;2;1;2;0;0
D1;05.10.13;Wolfsburg;Braunschweig;0;2;A;17;7;3;3;2;3;0;0
D1;06.10.13;Freiburg;Ein Frankfurt;1;1;D;13;11;4;5;3;2;0;1
D1;06.10.13;Nurnberg;Hamburg;0;5;A;7;16;2;13;1;0;0;0
D1;18.10.13;Hoffenheim;Leverkusen;1;2;A;20;12;8;4;0;4;0;0
D1;19.10.13;Bayern Munich;Mainz;4;1;H;18;13;6;4;1;0;0;0
D1;19.10.13;Braunschweig;Schalke 04;2;3;A;14;14;4;6;0;1;0;0
D1;19.10.13;Dortmund;Hannover;1;0;H;18;10;8;5;1;3;0;0
D1;19.10.13;Ein Frankfurt;Nurnberg;1;1;D;15;10;3;4;2;3;0;0
D1;19.10.13;Hertha;M'gladbach;1;0;H;5;13;2;4;2;1;0;1
D1;19.10.13;Werder Bremen;Freiburg;0;0;D;18;11;4;2;1;2;0;0
D1;20.10.13;Augsburg;Wolfsburg;1;2;A;11;13;8;6;2;3;0;0
D1;20.10.13;Hamburg;Stuttgart;3;3;D;20;9;6;3;1;2;0;1
D1;25.10.13;Stuttgart;Nurnberg;1;1;D;10;7;4;6;2;1;0;0
D1;26.10.13;Bayern Munich;Hertha;3;2;H;13;10;5;5;3;4;0;0
D1;26.10.13;Hannover;Hoffenheim;1;4;A;11;10;3;5;3;2;2;0
D1;26.10.13;Leverkusen;Augsburg;2;1;H;24;11;7;1;1;3;0;0
D1;26.10.13;Mainz;Braunschweig;2;0;H;9;6;3;1;2;3;0;0
D1;26.10.13;Schalke 04;Dortmund;1;3;A;12;10;5;8;3;1;0;0
D1;26.10.13;Wolfsburg;Werder Bremen;3;0;H;19;8;12;2;1;2;0;0
D1;27.10.13;Freiburg;Hamburg;0;3;A;9;17;2;7;2;1;0;0
D1;27.10.13;M'gladbach;Ein Frankfurt;4;1;H;13;11;4;4;2;4;0;0
D1;01.11.13;Dortmund;Stuttgart;6;1;H;17;3;10;1;1;0;0;0
D1;02.11.13;Braunschweig;Leverkusen;1;0;H;17;16;7;8;2;2;0;1
D1;02.11.13;Ein Frankfurt;Wolfsburg;1;2;A;10;10;5;3;3;2;0;0
D1;02.11.13;Hamburg;M'gladbach;0;2;A;17;8;8;4;0;2;0;0
D1;02.11.13;Hertha;Schalke 04;0;2;A;18;11;9;5;3;1;0;0
D1;02.11.13;Hoffenheim;Bayern Munich;1;2;A;7;17;3;7;2;0;0;0
D1;02.11.13;Nurnberg;Freiburg;0;3;A;20;14;12;8;0;1;0;1
D1;03.11.13;Augsburg;Mainz;2;1;H;19;11;7;4;3;3;0;1
D1;03.11.13;Werder Bremen;Hannover;3;2;H;12;18;6;6;3;4;0;0
D1;08.11.13;Hannover;Braunschweig;0;0;D;19;8;6;1;1;1;0;0
D1;09.11.13;Bayern Munich;Augsburg;3;0;H;23;6;9;0;0;0;0;0
D1;09.11.13;Hoffenheim;Hertha;2;3;A;9;11;7;5;2;2;0;0
D1;09.11.13;Leverkusen;Hamburg;5;3;H;20;11;7;6;3;4;0;0
D1;09.11.13;M'gladbach;Nurnberg;3;1;H;12;19;4;3;2;2;0;0
D1;09.11.13;Schalke 04;Werder Bremen;3;1;H;17;9;6;3;2;4;0;0
D1;09.11.13;Wolfsburg;Dortmund;2;1;H;10;12;4;2;2;4;0;0
D1;10.11.13;Freiburg;Stuttgart;1;3;A;19;10;5;7;2;1;0;0
D1;10.11.13;Mainz;Ein Frankfurt;1;0;H;20;14;9;4;4;1;0;0
D1;22.11.13;Stuttgart;M'gladbach;0;2;A;9;19;2;11;0;2;0;0
D1;23.11.13;Augsburg;Hoffenheim;2;0;H;16;8;5;3;2;3;0;0
D1;23.11.13;Braunschweig;Freiburg;0;1;A;21;8;7;2;3;1;0;0
D1;23.11.13;Dortmund;Bayern Munich;0;3;A;7;10;4;5;2;3;0;0
D1;23.11.13;Ein Frankfurt;Schalke 04;3;3;D;15;13;8;9;4;0;0;0
D1;23.11.13;Hertha;Leverkusen;0;1;A;12;4;2;2;1;1;0;0
D1;23.11.13;Nurnberg;Wolfsburg;1;1;D;11;23;6;6;1;1;0;0
D1;24.11.13;Hamburg;Hannover;3;1;H;19;11;9;4;3;2;0;1
D1;24.11.13;Werder Bremen;Mainz;2;3;A;24;18;8;7;1;2;0;0
D1;29.11.13;Wolfsburg;Hamburg;1;1;D;20;17;4;8;4;1;0;0
D1;30.11.13;Bayern Munich;Braunschweig;2;0;H;18;8;8;3;0;0;0;0
D1;30.11.13;Hertha;Augsburg;0;0;D;9;2;2;0;1;1;0;0
D1;30.11.13;Hoffenheim;Werder Bremen;4;4;D;18;13;8;6;2;5;0;0
D1;30.11.13;Leverkusen;Nurnberg;3;0;H;17;16;7;5;1;3;0;0
D1;30.11.13;Mainz;Dortmund;1;3;A;12;16;6;6;1;0;1;0
D1;30.11.13;Schalke 04;Stuttgart;3;0;H;12;9;5;1;2;0;0;0
