Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BbMxAHA;BbAvAHA
D1;05.08.11;Dortmund;Hamburg;H;16;8;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Sep;02. Feb
D1;06.08.11;Augsburg;Freiburg;D;11;9;2;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 98;Jan 92
D1;06.08.11;FC Koln;Wolfsburg;A;7;17;0;5;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Mai;Jan 97
D1;06.08.11;Hannover;Hoffenheim;H;7;12;2;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;02. Apr
D1;06.08.11;Hertha;Nurnberg;A;4;13;2;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 14;02. Jun
D1;06.08.11;Stuttgart;Schalke 04;H;12;15;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 91;Jan 88
D1;06.08.11;Werder Bremen;Kaiserslautern;H;19;9;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01. Sep;Jan 85
D1;07.08.11;Bayern Munich;M'gladbach;A;19;7;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Nov;02. Jun
D1;07.08.11;Mainz;Leverkusen;H;22;9;3;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 99;Jan 94
D1;13.08.11;Freiburg;Mainz;A;18;9;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 86;Jan 82
D1;13.08.11;Hamburg;Hertha;D;9;24;3;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 99;Jan 93
D1;13.08.11;Hoffenheim;Dortmund;H;13;15;4;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 99;Jan 93
D1;13.08.11;M'gladbach;Stuttgart;D;10;15;2;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Aug;Jan 99
D1;13.08.11;Nurnberg;Hannover;A;13;4;2;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 95;01. Sep
D1;13.08.11;Schalke 04;FC Koln;H;18;6;0;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 17;02. Sep
D1;13.08.11;Wolfsburg;Bayern Munich;A;7;11;0;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 81
D1;14.08.11;Kaiserslautern;Augsburg;D;17;13;4;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Sep;02. Feb
D1;14.08.11;Leverkusen;Werder Bremen;H;16;9;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Mai;Jan 99
D1;19.08.11;M'gladbach;Wolfsburg;H;21;7;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 91;Jan 82
D1;20.08.11;Augsburg;Hoffenheim;A;12;17;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01. Sep;Jan 84
D1;20.08.11;Bayern Munich;Hamburg;H;24;4;2;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 96;Jan 91
D1;20.08.11;Dortmund;Nurnberg;H;12;10;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 91;Jan 87
D1;20.08.11;FC Koln;Kaiserslautern;D;10;8;3;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01. Sep;Jan 85
D1;20.08.11;Stuttgart;Leverkusen;A;11;11;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 21;Feb 13
D1;20.08.11;Werder Bremen;Freiburg;H;26;11;1;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 93;Jan 89
D1;21.08.11;Hannover;Hertha;D;14;10;1;6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Jan 96
D1;21.08.11;Mainz;Schalke 04;A;15;12;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 13;02. Jun
D1;26.08.11;Hertha;Stuttgart;H;16;22;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 82
