Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;26.08.16;Bayern Munich;Werder Bremen;H;27;4;0;1;0;0
D1;27.08.16;Augsburg;Wolfsburg;A;13;12;1;2;0;0
D1;27.08.16;Dortmund;Mainz;H;17;12;0;3;0;0
D1;27.08.16;Ein Frankfurt;Schalke 04;H;11;11;2;2;1;0
D1;27.08.16;FC Koln;Darmstadt;H;21;12;3;3;0;0
D1;27.08.16;Hamburg;Ingolstadt;D;8;13;2;2;0;0
D1;27.08.16;M'gladbach;Leverkusen;H;14;12;3;3;0;0
D1;28.08.16;Hertha;Freiburg;H;15;8;0;3;0;0
D1;28.08.16;Hoffenheim;RB Leipzig;D;11;23;2;4;0;0
D1;09.09.16;Schalke 04;Bayern Munich;A;9;18;2;4;0;0
D1;10.09.16;Darmstadt;Ein Frankfurt;H;8;14;1;2;0;0
D1;10.09.16;Freiburg;M'gladbach;H;17;5;2;2;0;0
D1;10.09.16;Ingolstadt;Hertha;A;12;7;3;1;0;0
D1;10.09.16;Leverkusen;Hamburg;H;15;6;2;1;0;0
D1;10.09.16;RB Leipzig;Dortmund;H;10;8;2;2;0;0
D1;10.09.16;Wolfsburg;FC Koln;D;18;16;2;3;0;0
D1;11.09.16;Mainz;Hoffenheim;D;12;20;1;3;1;0
D1;11.09.16;Werder Bremen;Augsburg;A;10;18;2;3;0;0
D1;16.09.16;FC Koln;Freiburg;H;9;17;1;1;0;0
D1;17.09.16;Bayern Munich;Ingolstadt;H;10;13;1;2;0;0
D1;17.09.16;Dortmund;Darmstadt;H;22;5;0;4;0;1
D1;17.09.16;Ein Frankfurt;Leverkusen;H;17;7;3;0;0;0
D1;17.09.16;Hamburg;RB Leipzig;A;14;12;5;1;0;0
D1;17.09.16;Hoffenheim;Wolfsburg;D;20;20;2;1;0;0
D1;17.09.16;M'gladbach;Werder Bremen;H;15;9;0;3;0;1
D1;18.09.16;Augsburg;Mainz;A;12;11;1;2;0;1
D1;18.09.16;Hertha;Schalke 04;H;8;11;1;1;0;0
D1;20.09.16;Darmstadt;Hoffenheim;D;12;15;1;1;0;0
D1;20.09.16;Freiburg;Hamburg;H;19;7;1;0;0;0
D1;20.09.16;Ingolstadt;Ein Frankfurt;A;13;9;0;1;0;0
D1;20.09.16;Wolfsburg;Dortmund;A;15;10;2;0;0;0
D1;21.09.16;Bayern Munich;Hertha;H;16;2;1;0;0;0
D1;21.09.16;Leverkusen;Augsburg;D;14;5;0;2;0;0
D1;21.09.16;RB Leipzig;M'gladbach;D;9;3;1;2;0;0
D1;21.09.16;Schalke 04;FC Koln;A;18;9;2;1;0;0
D1;21.09.16;Werder Bremen;Mainz;A;13;13;2;2;0;0
D1;23.09.16;Dortmund;Freiburg;H;24;9;2;3;0;0
D1;24.09.16;Augsburg;Darmstadt;H;19;4;2;1;0;1
D1;24.09.16;Ein Frankfurt;Hertha;D;11;6;4;2;0;0
D1;24.09.16;Hamburg;Bayern Munich;A;7;17;2;3;0;0
D1;24.09.16;Mainz;Leverkusen;A;9;16;3;2;0;0
D1;24.09.16;M'gladbach;Ingolstadt;H;7;8;2;3;0;0
D1;24.09.16;Werder Bremen;Wolfsburg;H;16;11;1;3;0;0
D1;25.09.16;FC Koln;RB Leipzig;D;10;12;1;2;0;0
D1;25.09.16;Hoffenheim;Schalke 04;H;14;12;1;1;0;0
D1;30.09.16;RB Leipzig;Augsburg;H;17;6;0;3;0;0
D1;01.10.16;Bayern Munich;FC Koln;D;27;5;1;2;0;0
D1;01.10.16;Darmstadt;Werder Bremen;D;9;14;2;1;0;0
D1;01.10.16;Freiburg;Ein Frankfurt;H;11;14;4;3;0;0
D1;01.10.16;Hertha;Hamburg;H;14;16;2;6;0;0
D1;01.10.16;Ingolstadt;Hoffenheim;A;18;21;1;2;0;0
D1;01.10.16;Leverkusen;Dortmund;H;11;10;5;1;0;0
D1;02.10.16;Schalke 04;M'gladbach;H;15;12;0;0;0;0
D1;02.10.16;Wolfsburg;Mainz;D;19;8;0;0;0;0
D1;14.10.16;Dortmund;Hertha;D;15;9;1;5;1;1
D1;15.10.16;Augsburg;Schalke 04;D;11;12;2;3;0;0
D1;15.10.16;Ein Frankfurt;Bayern Munich;D;13;14;2;4;1;0
D1;15.10.16;FC Koln;Ingolstadt;H;15;9;3;3;0;0
D1;15.10.16;Hoffenheim;Freiburg;H;14;13;2;3;0;0
D1;15.10.16;M'gladbach;Hamburg;D;22;5;2;4;0;1
D1;15.10.16;Werder Bremen;Leverkusen;H;11;13;2;2;0;0
D1;16.10.16;Mainz;Darmstadt;H;13;12;3;1;0;0
D1;16.10.16;Wolfsburg;RB Leipzig;A;10;13;2;1;0;0
D1;21.10.16;Hamburg;Ein Frankfurt;A;3;13;0;4;1;0
D1;22.10.16;Bayern Munich;M'gladbach;H;17;3;0;1;0;0
D1;22.10.16;Darmstadt;Wolfsburg;H;9;9;0;2;0;1
D1;22.10.16;Freiburg;Augsburg;H;12;14;1;0;0;0
D1;22.10.16;Hertha;FC Koln;H;13;10;2;1;0;0
D1;22.10.16;Ingolstadt;Dortmund;D;12;24;0;1;0;0
D1;22.10.16;Leverkusen;Hoffenheim;A;6;14;0;1;1;0
D1;23.10.16;RB Leipzig;Werder Bremen;H;22;7;4;3;0;0
D1;23.10.16;Schalke 04;Mainz;H;11;10;2;3;0;0
D1;28.10.16;M'gladbach;Ein Frankfurt;D;7;6;1;2;0;0
D1;29.10.16;Augsburg;Bayern Munich;A;7;16;2;0;0;0
D1;29.10.16;Darmstadt;RB Leipzig;A;4;11;4;2;0;0
D1;29.10.16;Dortmund;Schalke 04;D;9;8;4;4;0;0
D1;29.10.16;Mainz;Ingolstadt;H;17;5;1;0;0;1
D1;29.10.16;Werder Bremen;Freiburg;A;14;13;1;3;0;0
D1;29.10.16;Wolfsburg;Leverkusen;A;6;18;1;3;0;0
D1;30.10.16;FC Koln;Hamburg;H;18;9;3;1;0;1
D1;30.10.16;Hoffenheim;Hertha;H;24;5;0;4;0;0
D1;04.11.16;Hertha;M'gladbach;H;12;11;2;2;0;1
D1;05.11.16;Bayern Munich;Hoffenheim;D;21;5;0;2;0;0
D1;05.11.16;Ein Frankfurt;FC Koln;H;8;6;3;3;0;0
D1;05.11.16;Freiburg;Wolfsburg;A;12;13;3;2;1;0
D1;05.11.16;Hamburg;Dortmund;A;14;10;2;0;0;0
D1;05.11.16;Ingolstadt;Augsburg;A;14;13;2;1;1;0
D1;05.11.16;Leverkusen;Darmstadt;H;12;6;0;1;0;0
D1;06.11.16;RB Leipzig;Mainz;H;15;11;0;3;0;0
D1;06.11.16;Schalke 04;Werder Bremen;H;24;8;2;3;0;0
D1;18.11.16;Leverkusen;RB Leipzig;A;12;11;1;3;0;0
D1;19.11.16;Augsburg;Hertha;D;9;10;3;1;0;0
D1;19.11.16;Darmstadt;Ingolstadt;A;18;15;1;4;0;0
D1;19.11.16;Dortmund;Bayern Munich;H;11;18;3;2;0;0
D1;19.11.16;Mainz;Freiburg;H;11;24;4;3;0;0
D1;19.11.16;M'gladbach;FC Koln;A;20;11;1;5;0;0
D1;19.11.16;Wolfsburg;Schalke 04;A;8;19;2;2;0;0
D1;20.11.16;Hoffenheim;Hamburg;D;18;14;1;2;0;0
D1;20.11.16;Werder Bremen;Ein Frankfurt;A;14;19;1;2;0;0
D1;25.11.16;Freiburg;RB Leipzig;A;9;16;2;3;0;0
D1;26.11.16;Bayern Munich;Leverkusen;H;13;13;0;0;0;0
D1;26.11.16;Ein Frankfurt;Dortmund;H;12;12;4;3;0;0
D1;26.11.16;FC Koln;Augsburg;D;18;13;2;3;0;0
D1;26.11.16;Hamburg;Werder Bremen;D;17;12;2;3;0;0
D1;26.11.16;Ingolstadt;Wolfsburg;D;20;11;2;1;0;0
D1;26.11.16;M'gladbach;Hoffenheim;D;16;15;0;2;0;0
D1;27.11.16;Hertha;Mainz;H;16;9;1;0;1;1
D1;27.11.16;Schalke 04;Darmstadt;H;20;9;0;2;0;0
D1;02.12.16;Mainz;Bayern Munich;A;9;15;3;2;0;0
D1;03.12.16;Dortmund;M'gladbach;H;15;3;1;1;0;0
D1;03.12.16;Hoffenheim;FC Koln;H;10;10;1;1;0;0
D1;03.12.16;Leverkusen;Freiburg;D;13;10;0;1;0;0
D1;03.12.16;RB Leipzig;Schalke 04;H;14;11;1;5;0;0
D1;03.12.16;Werder Bremen;Ingolstadt;H;14;15;0;3;0;0
D1;03.12.16;Wolfsburg;Hertha;A;6;18;3;2;1;0
D1;04.12.16;Augsburg;Ein Frankfurt;D;14;7;3;2;0;0
D1;04.12.16;Darmstadt;Hamburg;A;10;21;2;4;0;0
D1;09.12.16;Ein Frankfurt;Hoffenheim;D;15;3;4;3;1;0
D1;10.12.16;Bayern Munich;Wolfsburg;H;19;6;1;0;0;0
D1;10.12.16;FC Koln;Dortmund;D;7;11;2;3;1;0
D1;10.12.16;Freiburg;Darmstadt;H;12;16;3;4;0;0
D1;10.12.16;Hamburg;Augsburg;H;11;11;1;3;1;1
D1;10.12.16;Hertha;Werder Bremen;A;11;13;0;3;0;0
D1;10.12.16;Ingolstadt;RB Leipzig;H;4;13;1;4;1;0
D1;11.12.16;M'gladbach;Mainz;H;9;12;2;0;0;1
D1;11.12.16;Schalke 04;Leverkusen;A;11;13;3;3;1;0
D1;16.12.16;Hoffenheim;Dortmund;D;13;14;5;1;0;1
D1;17.12.16;Augsburg;M'gladbach;H;8;8;0;0;0;0
D1;17.12.16;Mainz;Hamburg;H;19;10;2;3;0;0
D1;17.12.16;RB Leipzig;Hertha;H;16;3;1;3;0;0
D1;17.12.16;Schalke 04;Freiburg;D;17;6;1;0;0;0
D1;17.12.16;Werder Bremen;FC Koln;D;10;14;1;4;0;0
D1;17.12.16;Wolfsburg;Ein Frankfurt;H;15;7;3;4;0;0
D1;18.12.16;Darmstadt;Bayern Munich;A;10;13;1;2;0;0
D1;18.12.16;Leverkusen;Ingolstadt;A;5;17;1;2;1;0
D1;20.12.16;Dortmund;Augsburg;D;23;8;1;2;0;0
D1;20.12.16;Ein Frankfurt;Mainz;H;9;11;3;0;0;1
D1;20.12.16;Hamburg;Schalke 04;H;11;6;2;4;0;0
D1;20.12.16;M'gladbach;Wolfsburg;A;20;18;1;2;0;0
D1;21.12.16;Bayern Munich;RB Leipzig;H;24;5;1;1;0;1
D1;21.12.16;FC Koln;Leverkusen;D;11;18;0;0;0;0
D1;21.12.16;Hertha;Darmstadt;H;15;5;1;3;0;0
D1;21.12.16;Hoffenheim;Werder Bremen;D;12;10;2;2;0;0
D1;21.12.16;Ingolstadt;Freiburg;A;17;11;4;2;0;0
D1;20.01.17;Freiburg;Bayern Munich;A;11;13;2;2;0;0
D1;21.01.17;Augsburg;Hoffenheim;A;9;13;2;4;0;0
D1;21.01.17;Darmstadt;M'gladbach;D;8;14;1;1;0;0
D1;21.01.17;RB Leipzig;Ein Frankfurt;H;17;4;1;2;0;1
D1;21.01.17;Schalke 04;Ingolstadt;H;15;14;1;0;0;0
D1;21.01.17;Werder Bremen;Dortmund;A;9;22;3;1;1;0
D1;21.01.17;Wolfsburg;Hamburg;H;11;11;2;1;0;1
D1;22.01.17;Leverkusen;Hertha;H;16;7;0;2;0;0
D1;22.01.17;Mainz;FC Koln;D;12;9;1;1;0;0
D1;27.01.17;Schalke 04;Ein Frankfurt;A;12;8;2;1;0;0
D1;28.01.17;Darmstadt;FC Koln;A;10;14;2;4;0;0
D1;28.01.17;Ingolstadt;Hamburg;H;15;11;0;2;0;0
D1;28.01.17;Leverkusen;M'gladbach;A;13;12;0;0;0;0
D1;28.01.17;RB Leipzig;Hoffenheim;H;14;5;3;3;0;1
D1;28.01.17;Werder Bremen;Bayern Munich;A;11;13;4;1;0;0
D1;28.01.17;Wolfsburg;Augsburg;A;11;12;2;2;0;0
D1;29.01.17;Freiburg;Hertha;H;11;11;0;2;0;0
D1;29.01.17;Mainz;Dortmund;D;9;13;2;1;0;0
D1;03.02.17;Hamburg;Leverkusen;H;11;5;0;3;0;0
D1;04.02.17;Bayern Munich;Schalke 04;D;12;7;1;1;0;0
D1;04.02.17;Dortmund;RB Leipzig;H;14;2;1;3;0;0
D1;04.02.17;FC Koln;Wolfsburg;H;12;12;4;3;0;0
D1;04.02.17;Hertha;Ingolstadt;H;8;13;2;2;0;0
D1;04.02.17;Hoffenheim;Mainz;H;22;13;2;2;0;0
D1;04.02.17;M'gladbach;Freiburg;H;11;14;1;1;0;0
D1;05.02.17;Augsburg;Werder Bremen;H;15;19;3;2;0;0
D1;05.02.17;Ein Frankfurt;Darmstadt;H;15;4;2;4;0;0
D1;10.02.17;Mainz;Augsburg;H;8;10;1;3;0;0
D1;11.02.17;Darmstadt;Dortmund;H;15;14;2;2;0;0
D1;11.02.17;Ingolstadt;Bayern Munich;A;8;17;2;1;0;0
D1;11.02.17;Leverkusen;Ein Frankfurt;H;17;9;2;1;0;0
D1;11.02.17;RB Leipzig;Hamburg;A;15;11;2;2;0;0
D1;11.02.17;Schalke 04;Hertha;H;14;5;1;2;0;0
D1;11.02.17;Werder Bremen;M'gladbach;A;16;12;2;2;0;0
D1;12.02.17;Freiburg;FC Koln;H;12;12;1;1;0;0
D1;12.02.17;Wolfsburg;Hoffenheim;H;13;14;3;2;0;0
D1;17.02.17;Augsburg;Leverkusen;A;12;20;3;1;0;0
D1;18.02.17;Dortmund;Wolfsburg;H;24;6;2;1;0;0
D1;18.02.17;Ein Frankfurt;Ingolstadt;A;15;14;4;0;1;1
D1;18.02.17;Hamburg;Freiburg;D;6;12;3;2;0;0
D1;18.02.17;Hertha;Bayern Munich;D;11;16;2;3;0;0
D1;18.02.17;Hoffenheim;Darmstadt;H;14;7;3;4;0;0
D1;18.02.17;Mainz;Werder Bremen;A;13;8;3;4;0;0
D1;19.02.17;FC Koln;Schalke 04;D;9;12;2;3;0;0
D1;19.02.17;M'gladbach;RB Leipzig;A;12;9;4;3;0;0
D1;24.02.17;Wolfsburg;Werder Bremen;A;27;7;1;3;0;0
D1;25.02.17;Bayern Munich;Hamburg;H;18;5;0;1;0;0
D1;25.02.17;Darmstadt;Augsburg;A;5;18;1;0;0;0
D1;25.02.17;Freiburg;Dortmund;A;7;27;1;0;0;0
D1;25.02.17;Hertha;Ein Frankfurt;H;6;8;2;2;0;1
D1;25.02.17;Leverkusen;Mainz;A;12;11;1;3;0;0
D1;25.02.17;RB Leipzig;FC Koln;H;13;5;1;4;0;0
D1;26.02.17;Ingolstadt;M'gladbach;A;14;10;2;0;0;0
D1;26.02.17;Schalke 04;Hoffenheim;D;7;14;0;2;0;0
D1;03.03.17;Augsburg;RB Leipzig;D;7;12;4;2;0;0
D1;04.03.17;Dortmund;Leverkusen;H;20;12;0;6;0;0
D1;04.03.17;FC Koln;Bayern Munich;A;6;20;0;2;0;0
D1;04.03.17;Hoffenheim;Ingolstadt;H;17;8;2;2;0;0
D1;04.03.17;Mainz;Wolfsburg;D;10;7;0;0;0;0
D1;04.03.17;M'gladbach;Schalke 04;H;19;7;0;4;0;0
D1;04.03.17;Werder Bremen;Darmstadt;H;9;15;1;1;0;0
D1;05.03.17;Ein Frankfurt;Freiburg;A;15;10;2;1;0;0
D1;05.03.17;Hamburg;Hertha;H;9;8;1;2;0;0
D1;10.03.17;Leverkusen;Werder Bremen;D;12;11;0;2;1;0
D1;11.03.17;Bayern Munich;Ein Frankfurt;H;16;10;2;3;0;0
D1;11.03.17;Darmstadt;Mainz;H;11;13;3;2;1;1
D1;11.03.17;Freiburg;Hoffenheim;D;6;23;2;2;0;0
D1;11.03.17;Hertha;Dortmund;H;16;18;2;4;0;0
D1;11.03.17;Ingolstadt;FC Koln;D;26;7;4;3;0;0
D1;11.03.17;RB Leipzig;Wolfsburg;A;11;15;3;4;0;0
D1;12.03.17;Hamburg;M'gladbach;H;17;7;1;2;0;0
D1;12.03.17;Schalke 04;Augsburg;H;25;9;3;0;0;0
D1;17.03.17;Dortmund;Ingolstadt;H;10;14;1;3;0;0
D1;18.03.17;Augsburg;Freiburg;D;15;7;2;2;0;0
D1;18.03.17;Ein Frankfurt;Hamburg;D;7;5;1;1;0;0
D1;18.03.17;FC Koln;Hertha;H;7;8;2;3;0;0
D1;18.03.17;Hoffenheim;Leverkusen;H;13;16;1;1;0;0
D1;18.03.17;Werder Bremen;RB Leipzig;H;9;7;2;1;0;0
D1;18.03.17;Wolfsburg;Darmstadt;H;18;6;2;3;0;0
D1;19.03.17;Mainz;Schalke 04;A;18;9;2;4;0;0
D1;19.03.17;M'gladbach;Bayern Munich;A;14;18;0;2;0;0
D1;31.03.17;Hertha;Hoffenheim;A;5;28;2;1;1;0
D1;01.04.17;Bayern Munich;Augsburg;H;21;6;0;2;0;0
D1;01.04.17;Ein Frankfurt;M'gladbach;D;15;6;4;2;0;1
D1;01.04.17;Freiburg;Werder Bremen;A;13;11;2;1;0;0
D1;01.04.17;Hamburg;FC Koln;H;14;7;2;3;0;0
D1;01.04.17;RB Leipzig;Darmstadt;H;25;11;1;2;0;1
D1;01.04.17;Schalke 04;Dortmund;D;9;7;1;2;0;0
D1;02.04.17;Ingolstadt;Mainz;H;12;10;4;3;0;0
D1;02.04.17;Leverkusen;Wolfsburg;D;8;18;1;2;0;0
D1;04.04.17;Dortmund;Hamburg;H;17;16;1;3;0;0
D1;04.04.17;FC Koln;Ein Frankfurt;H;5;11;0;2;0;0
D1;04.04.17;Hoffenheim;Bayern Munich;H;14;21;0;1;0;0
D1;04.04.17;Werder Bremen;Schalke 04;H;11;14;0;2;0;0
D1;05.04.17;Augsburg;Ingolstadt;A;13;13;3;2;0;0
D1;05.04.17;Darmstadt;Leverkusen;A;13;14;0;2;0;0
D1;05.04.17;Mainz;RB Leipzig;A;18;15;6;4;1;0
D1;05.04.17;M'gladbach;Hertha;H;22;12;1;1;0;0
D1;05.04.17;Wolfsburg;Freiburg;A;17;16;0;1;0;0
D1;07.04.17;Ein Frankfurt;Werder Bremen;D;16;8;2;2;0;0
D1;08.04.17;Bayern Munich;Dortmund;H;18;9;2;3;0;0
D1;08.04.17;FC Koln;M'gladbach;A;9;16;2;2;0;0
D1;08.04.17;Freiburg;Mainz;H;7;9;0;3;0;0
D1;08.04.17;Hamburg;Hoffenheim;H;12;12;4;4;0;0
D1;08.04.17;RB Leipzig;Leverkusen;H;14;14;0;1;1;0
D1;08.04.17;Schalke 04;Wolfsburg;H;12;18;1;2;0;0
D1;09.04.17;Hertha;Augsburg;H;18;5;1;2;0;0
D1;09.04.17;Ingolstadt;Darmstadt;H;23;10;1;0;1;1
D1;15.04.17;Augsburg;FC Koln;H;7;12;2;3;2;0
D1;15.04.17;Dortmund;Ein Frankfurt;H;15;9;0;0;0;0
D1;15.04.17;Hoffenheim;M'gladbach;H;16;10;2;4;0;0
D1;15.04.17;Leverkusen;Bayern Munich;D;9;21;1;0;1;0
D1;15.04.17;Mainz;Hertha;H;17;6;1;3;0;0
D1;15.04.17;RB Leipzig;Freiburg;H;13;11;1;2;0;0
D1;15.04.17;Wolfsburg;Ingolstadt;H;9;6;2;3;0;0
D1;16.04.17;Darmstadt;Schalke 04;H;11;26;5;3;0;1
D1;16.04.17;Werder Bremen;Hamburg;H;13;6;3;1;0;0
D1;21.04.17;FC Koln;Hoffenheim;D;12;11;2;0;0;0
D1;22.04.17;Bayern Munich;Mainz;D;19;10;1;1;0;0
D1;22.04.17;Ein Frankfurt;Augsburg;H;20;10;2;1;0;0
D1;22.04.17;Hamburg;Darmstadt;A;13;9;3;2;0;0
D1;22.04.17;Hertha;Wolfsburg;H;14;10;3;5;0;0
D1;22.04.17;Ingolstadt;Werder Bremen;A;15;9;3;2;0;0
D1;22.04.17;M'gladbach;Dortmund;A;7;12;2;3;0;0
D1;23.04.17;Freiburg;Leverkusen;H;11;11;2;2;0;0
D1;23.04.17;Schalke 04;RB Leipzig;D;11;9;3;2;0;0
